CustomerID,CustomerName,CustomerEmail,CustomerType,CustomerAddress,CustomerContactNo
1,Mitchell,Harriette42@ymail.com,Internal Goods,2100 Block of 27TH AV,9961255787
2,Reginald,Matthew951@yahoo.co.in,Wholesale,300 Block of ELLIS ST,3555176867
3,Jaylene,Geraldine867@ymail.co.in,Retail,1000 Block of MISSION ST,9835395970
4,Stacie,Brenda905@ymail.com,Internal Goods,800 Block of BRYANT ST,3881250181
5,Jonathan,Malie282@gmail.com,Wholesale,0 Block of DRUMM ST,1507211823
6,Italia,Fred847@google.co.in,Internal Goods,3RD ST / FOLSOM ST,5612381477
7,Catherine,Clay224@gmail.com,Wholesale,GOLDEN GATE AV / PARKER AV,8094222335
8,Pierre,Alaysha578@hotmail.com,Wholesale,1400 Block of DEHARO ST,4133741447
9,Sheryl,Kelli519@gmail.com,Retail,FOLSOM ST / 3RD ST,4399641006
10,Rory,Ryker154@hotmail.com,Internal Goods,0 Block of THRIFT ST,7077259810
11,Cecile,Johnnie593@hotmail.com,Wholesale,100 Block of GOLDEN GATE AV,1634188566
12,Monte,Zykeria36@google.co.in,Wholesale,2400 Block of DIAMOND ST,6963794710
13,Belle,Selma775@yahoo.co.in,Wholesale,FOLSOM ST / CESAR CHAVEZ ST,2644171337
14,Rayshawn,Kathryn298@gmail.com,Wholesale,100 Block of LELAND AV,3057896481
15,Abby,Karl167@google.co.in,Internal Goods,600 Block of CLEMENT ST,3335480444
16,Alonzo,Freda331@yahoo.co.in,Internal Goods,400 Block of LEAVENWORTH ST,1772719208
17,Ray,David216@ymail.com,Wholesale,4400 Block of ANZA ST,3581081156
18,Tiffany,Winnifred436@gmail.com,Wholesale,GEARY ST / TAYLOR ST,9811567113
19,Rosalind,Bryce535@google.co.in,Wholesale,1500 Block of NEWCOMB AV,7176117751
20,Franklin,Maeve922@gmail.com,Retail,ELLIS ST / JONES ST,5362454917
21,Matthew,Maria344@yahoo.com,Retail,600 Block of JOHNMUIR DR,4218762280
22,Larry,Taron588@yahoo.co.in,Internal Goods,1700 Block of LYON ST,2224750233
23,Elena,Bryce621@google.co.in,Internal Goods,3100 Block of 20TH AV,8017236646
24,Brady,Ramona218@gmail.com,Retail,1300 Block of COLUMBUS AV,5712616501
25,Sapphire,Adrienne107@gmail.com,Retail,LARKIN ST / POST ST,7065731530
26,Gene,Dawn743@yahoo.com,Retail,800 Block of AMAZON AV,3636499761
27,Magdalene,Yessenia134@yahoo.com,Retail,400 Block of 39TH AV,6491626668
28,Norma,Ryan368@ymail.com,Wholesale,300 Block of CAPISTRANO AV,8023324199
29,Destiny,Harriette113@ymail.co.in,Retail,400 Block of POWELL ST,6958292565
30,Glory,Jana467@gmail.com,Internal Goods,HARRIET ST / HOWARD ST,3794685776
31,Latasha,Frances207@ymail.co.in,Internal Goods,1500 Block of TURK ST,1973040699
32,Clay,Tiffani841@google.co.in,Internal Goods,200 Block of SILVER AV,4120733093
33,Frances,Cecile32@hotmail.com,Internal Goods,800 Block of BRYANT ST,5785102250
34,Dinah,Bryce393@ymail.com,Internal Goods,2100 Block of LOMBARD ST,9235867886
35,Merna,Earle203@google.co.in,Retail,GOLDEN GATE AV / VANNESS AV,7134849334
36,Louise,Danita716@ymail.com,Wholesale,800 Block of BRYANT ST,4751700379
37,Kaitlyn,Raeleigh114@gmail.com,Wholesale,POWELL ST / MARKET ST,9430559862
38,Morgan,Guy394@outlook.com,Retail,CAPP ST / 17TH ST,4160161977
39,Courtney,Anastasia108@google.co.in,Wholesale,0 Block of SADOWA ST,1660494007
40,Rayshawn,Benita963@gmail.com,Retail,500 Block of GEARY ST,2979310129
41,Eddie,Dianne471@ymail.com,Retail,0 Block of OFARRELL ST,1973879566
42,Maurice,Andrea833@yahoo.co.in,Internal Goods,2700 Block of FILBERT ST,7030699598
43,Taryn,Raul112@outlook.com,Internal Goods,700 Block of VALLEJO ST,2618164744
44,Lazaro,Raven727@yahoo.co.in,Retail,300 Block of FILLMORE ST,6736421797
45,Muriel,Rebecca74@yahoo.co.in,Retail,0 Block of MYRTLE ST,5071378297
46,Dejon,Rosalind124@hotmail.com,Retail,300 Block of HOLLADAY AV,3907479910
47,Peter,Anne714@gmail.com,Internal Goods,DORLAND ST / GUERRERO ST,8175968796
48,Todd,Michael518@yahoo.com,Wholesale,23RD ST / DOUGLASS ST,2711085992
49,Stacy,Danielle957@yahoo.co.in,Internal Goods,5000 Block of 3RD ST,3457826852
50,Morgan,Guy394@outlook.com,Retail,CAPP ST / 17TH ST,4160161977
,,,,,
